album_name,composer,director,orchestra,solist,instrument,obra_type,nota,obra_number,opus_number,cd_number
"CLARO DE LUNA","BEETHOVEN, LUDWIG VAN-1770/1827",,,"KEMPFF, WILHELM","PIANO","SONATA","DO SOSTENIDO MENOR",14,27,,,,24,09/04/94
"APASSIONATTA","BEETHOVEN, LUDWIG VAN-1770/1827",,,"KEMPFF, WILHELM","PIANO","SONATA","FA MENOR",23,57,,,,24,09/04/94
"PRIMAVERA","BEETHOVEN, LUDWIG VAN-1770/1827",,,"MENUHIN, Y. Y KEMPFF, W.","VIOLIN Y PIANO","SONATA","SOL MENOR",5,24,,,,21,09/04/94
,"BEETHOVEN, LUDWIG VAN-1770/1827","HAITINK, BERNARD","CONCERTGEBOWN DE AMSTERDAM","ARRAU, CLAUDIO","PIANO","CONCIERTO","DO MAYOR",1,15,,,,10,09/04/94
,"BEETHOVEN, LUDWIG VAN-1770/1827","STEIMBERG, WILLIAN","SINFONICA RCA","HEIFETZ, JASHA","VIOLIN","ROMANZA","SOL MAYOR",1,40,,,,148,09/04/94
,"BEETHOVEN, LUDWIG VAN-1770/1827","STEIMBERG, WILLIAN","SINFONICA RCA","HEIFETZ, JASHA","VIOLIN","ROMANZA","FA MAYOR",2,50,,,,148,09/04/94
"KREUTZER","BEETHOVEN, LUDWIG VAN-1770/1827",,,"MENUHIN, Y. Y KEMPFF, W.","VIOLIN Y PIANO","SONATA","LA MAYOR",9,47,,,33,22,09/04/94
,"BEETHOVEN, LUDWIG VAN-1770/1827",,,"MENUHIN, Y. Y KEMPFF, W.","VIOLIN Y PIANO","SONATA","SOL MAYOR",8,30,,,15,22,09/04/94
"CLARO DE LUNA","BEETHOVEN, LUDWIG VAN-1770/1827",,,"SERKIN, RUDOLF","PIANO","SONATA","DO SOSTENIDO MENOR",14,27,,,49,23,09/04/94
"PATETICA","BEETHOVEN, LUDWIG VAN-1770/1827",,,"SERKIN, RUDOLF","PIANO","SONATA","DO MENOR",8,13,,,11,23,09/04/94
"APASSIONATTA","BEETHOVEN, LUDWIG VAN-1770/1827",,,"SERKIN, RUDOLF","PIANO","SONATA","FA MENOR",23,57,,,,23,09/04/94
"LA TEMPESTAD","BEETHOVEN, LUDWIG VAN-1770/1827",,,"HASKIL, CLARA","PIANO","SONATA","RE MENOR",17,31,,,10,9,09/04/94
"LA CAZA","BEETHOVEN, LUDWIG VAN-1770/1827",,,"HASKIL, CLARA","PIANO","SONATA","MI BEMOL MAYOR",18,31,,,10,9,09/04/94
"LOS ADIOSES","BEETHOVEN, LUDWIG VAN-1770/1827",,,"SERKIN, RUDOLF","PIANO","SONATA","MI BEMOL MAYOR",26,81,,,39,32,09/04/94
,"BEETHOVEN, LUDWIG VAN-1770/1827","ORMANDY, EUGENE","DE FILADELFIA","SERKIN, RUDOLF","PIANO","CONCIERTO","DO MAYOR",1,15,,,,32,09/04/94
"HAMMERKLAVIER","BEETHOVEN, LUDWIG VAN-1770/1827",,,"KEMPFF, WILHELM","PIANO","SONATA","SI BEMOL MAYOR",29,106,,,131,209,09/04/94
,"BEETHOVEN, LUDWIG VAN-1770/1827",,,"KEMPFF, WILHELM","PIANO","SONATA","MI MAYOR",30,109,,,133,209,09/04/94
